woj;powiat;teryt
Dolnośląskie;Bolesławiecki;0201
Dolnośląskie;Dzierżoniowski;0202
Dolnośląskie;Głogowski;0203
Dolnośląskie;Górowski;0204
Dolnośląskie;Jaworski;0205
Dolnośląskie;Jeleniogórski;0206
Dolnośląskie;Kamiennogórski;0207
Dolnośląskie;Kłodzki;0208
Dolnośląskie;Legnicki;0209
Dolnośląskie;Lubański;0210
Dolnośląskie;Lubiński;0211
Dolnośląskie;Lwówecki;0212
Dolnośląskie;Milicki;0213
Dolnośląskie;Oleśnicki;0214
Dolnośląskie;Oławski;0215
Dolnośląskie;Polkowicki;0216
Dolnośląskie;Strzeliński;0217
Dolnośląskie;Średzki;0218
Dolnośląskie;Świdnicki;0219
Dolnośląskie;Trzebnicki;0220
Dolnośląskie;Wałbrzyski;0221
Dolnośląskie;Wołowski;0222
Dolnośląskie;Wrocławski;0223
Dolnośląskie;Ząbkowicki;0224
Dolnośląskie;Zgorzelecki;0225
Dolnośląskie;Złotoryjski;0226
Dolnośląskie;Jelenia Góra;0261
Dolnośląskie;Legnica;0262
Dolnośląskie;Wrocław;0264
Dolnośląskie;Wałbrzych;0265
Kujawsko-pomorskie;Aleksandrowski;0401
Kujawsko-pomorskie;Brodnicki;0402
Kujawsko-pomorskie;Bydgoski;0403
Kujawsko-pomorskie;Chełmiński;0404
Kujawsko-pomorskie;Golubsko-Dobrzyński;0405
Kujawsko-pomorskie;Grudziądzki;0406
Kujawsko-pomorskie;Inowrocławski;0407
Kujawsko-pomorskie;Lipnowski;0408
Kujawsko-pomorskie;Mogileński;0409
Kujawsko-pomorskie;Nakielski;0410
Kujawsko-pomorskie;Radziejowski;0411
Kujawsko-pomorskie;Rypiński;0412
Kujawsko-pomorskie;Sępoleński;0413
Kujawsko-pomorskie;Świecki;0414
Kujawsko-pomorskie;Toruński;0415
Kujawsko-pomorskie;Tucholski;0416
Kujawsko-pomorskie;Wąbrzeski;0417
Kujawsko-pomorskie;Włocławski;0418
Kujawsko-pomorskie;Żniński;0419
Kujawsko-pomorskie;Bydgoszcz;0461
Kujawsko-pomorskie;Grudziądz;0462
Kujawsko-pomorskie;Toruń;0463
Kujawsko-pomorskie;Włocławek;0464
Lubelskie;Bialski;0601
Lubelskie;Biłgorajski;0602
Lubelskie;Chełmski;0603
Lubelskie;Hrubieszowski;0604
Lubelskie;Janowski;0605
Lubelskie;Krasnostawski;0606
Lubelskie;Kraśnicki;0607
Lubelskie;Lubartowski;0608
Lubelskie;Lubelski;0609
Lubelskie;Łęczyński;0610
Lubelskie;Łukowski;0611
Lubelskie;Opolski;0612
Lubelskie;Parczewski;0613
Lubelskie;Puławski;0614
Lubelskie;Radzyński;0615
Lubelskie;Rycki;0616
Lubelskie;Świdnicki;0617
Lubelskie;Tomaszowski;0618
Lubelskie;Włodawski;0619
Lubelskie;Zamojski;0620
Lubelskie;Biała Podlaska;0661
Lubelskie;Chełm;0662
Lubelskie;Lublin;0663
Lubelskie;Zamość;0664
Lubuskie;Gorzowski;0801
Lubuskie;Krośnieński;0802
Lubuskie;Międzyrzecki;0803
Lubuskie;Nowosolski;0804
Lubuskie;Słubicki;0805
Lubuskie;Strzelecko-Drezdenecki;0806
Lubuskie;Sulęciński;0807
Lubuskie;Świebodziński;0808
Lubuskie;Zielonogórski;0809
Lubuskie;Żagański;0810
Lubuskie;Żarski;0811
Lubuskie;Wschowski;0812
Lubuskie;Gorzów Wielkopolski;0861
Lubuskie;Zielona Góra;0862
Łódzkie;Bełchatowski;1001
Łódzkie;Kutnowski;1002
Łódzkie;Łaski;1003
Łódzkie;Łęczycki;1004
Łódzkie;Łowicki;1005
Łódzkie;Łódzki Wschodni;1006
Łódzkie;Opoczyński;1007
Łódzkie;Pabianicki;1008
Łódzkie;Pajęczański;1009
Łódzkie;Piotrkowski;1010
Łódzkie;Poddębicki;1011
Łódzkie;Radomszczański;1012
Łódzkie;Rawski;1013
Łódzkie;Sieradzki;1014
Łódzkie;Skierniewicki;1015
Łódzkie;Tomaszowski;1016
Łódzkie;Wieluński;1017
Łódzkie;Wieruszowski;1018
Łódzkie;Zduńskowolski;1019
Łódzkie;Zgierski;1020
Łódzkie;Brzeziński;1021
Łódzkie;Łódź;1061
Łódzkie;Piotrków Trybunalski;1062
Łódzkie;Skierniewice;1063
Małopolskie;Bocheński;1201
Małopolskie;Brzeski;1202
Małopolskie;Chrzanowski;1203
Małopolskie;Dąbrowski;1204
Małopolskie;Gorlicki;1205
Małopolskie;Krakowski;1206
Małopolskie;Limanowski;1207
Małopolskie;Miechowski;1208
Małopolskie;Myślenicki;1209
Małopolskie;Nowosądecki;1210
Małopolskie;Nowotarski;1211
Małopolskie;Olkuski;1212
Małopolskie;Oświęcimski;1213
Małopolskie;Proszowicki;1214
Małopolskie;Suski;1215
Małopolskie;Tarnowski;1216
Małopolskie;Tatrzański;1217
Małopolskie;Wadowicki;1218
Małopolskie;Wielicki;1219
Małopolskie;Kraków;1261
Małopolskie;Nowy Sącz;1262
Małopolskie;Tarnów;1263
Mazowieckie;Białobrzeski;1401
Mazowieckie;Ciechanowski;1402
Mazowieckie;Garwoliński;1403
Mazowieckie;Gostyniński;1404
Mazowieckie;Grodziski;1405
Mazowieckie;Grójecki;1406
Mazowieckie;Kozienicki;1407
Mazowieckie;Legionowski;1408
Mazowieckie;Lipski;1409
Mazowieckie;Łosicki;1410
Mazowieckie;Makowski;1411
Mazowieckie;Miński;1412
Mazowieckie;Mławski;1413
Mazowieckie;Nowodworski;1414
Mazowieckie;Ostrołęcki;1415
Mazowieckie;Ostrowski;1416
Mazowieckie;Otwocki;1417
Mazowieckie;Piaseczyński;1418
Mazowieckie;Płocki;1419
Mazowieckie;Płoński;1420
Mazowieckie;Pruszkowski;1421
Mazowieckie;Przasnyski;1422
Mazowieckie;Przysuski;1423
Mazowieckie;Pułtuski;1424
Mazowieckie;Radomski;1425
Mazowieckie;Siedlecki;1426
Mazowieckie;Sierpecki;1427
Mazowieckie;Sochaczewski;1428
Mazowieckie;Sokołowski;1429
Mazowieckie;Szydłowiecki;1430
Mazowieckie;Warszawski Zachodni;1432
Mazowieckie;Węgrowski;1433
Mazowieckie;Wołomiński;1434
Mazowieckie;Wyszkowski;1435
Mazowieckie;Zwoleński;1436
Mazowieckie;Żuromiński;1437
Mazowieckie;Żyrardowski;1438
Mazowieckie;Ostrołęka;1461
Mazowieckie;Płock;1462
Mazowieckie;Radom;1463
Mazowieckie;Siedlce;1464
Mazowieckie;M. St. Warszawa;1465
Opolskie;Brzeski;1601
Opolskie;Głubczycki;1602
Opolskie;Kędzierzyńsko-Kozielski;1603
Opolskie;Kluczborski;1604
Opolskie;Krapkowicki;1605
Opolskie;Namysłowski;1606
Opolskie;Nyski;1607
Opolskie;Oleski;1608
Opolskie;Opolski;1609
Opolskie;Prudnicki;1610
Opolskie;Strzelecki;1611
Opolskie;Opole;1661
Podkarpackie;Bieszczadzki;1801
Podkarpackie;Brzozowski;1802
Podkarpackie;Dębicki;1803
Podkarpackie;Jarosławski;1804
Podkarpackie;Jasielski;1805
Podkarpackie;Kolbuszowski;1806
Podkarpackie;Krośnieński;1807
Podkarpackie;Leżajski;1808
Podkarpackie;Lubaczowski;1809
Podkarpackie;Łańcucki;1810
Podkarpackie;Mielecki;1811
Podkarpackie;Niżański;1812
Podkarpackie;Przemyski;1813
Podkarpackie;Przeworski;1814
Podkarpackie;Ropczycko-Sędziszowski;1815
Podkarpackie;Rzeszowski;1816
Podkarpackie;Sanocki;1817
Podkarpackie;Stalowowolski;1818
Podkarpackie;Strzyżowski;1819
Podkarpackie;Tarnobrzeski;1820
Podkarpackie;Leski;1821
Podkarpackie;Krosno;1861
Podkarpackie;Przemyśl;1862
Podkarpackie;Rzeszów;1863
Podkarpackie;Tarnobrzeg;1864
Podlaskie;Augustowski;2001
Podlaskie;Białostocki;2002
Podlaskie;Bielski;2003
Podlaskie;Grajewski;2004
Podlaskie;Hajnowski;2005
Podlaskie;Kolneński;2006
Podlaskie;Łomżyński;2007
Podlaskie;Moniecki;2008
Podlaskie;Sejneński;2009
Podlaskie;Siemiatycki;2010
Podlaskie;Sokólski;2011
Podlaskie;Suwalski;2012
Podlaskie;Wysokomazowiecki;2013
Podlaskie;Zambrowski;2014
Podlaskie;Białystok;2061
Podlaskie;Łomża;2062
Podlaskie;Suwałki;2063
Pomorskie;Bytowski;2201
Pomorskie;Chojnicki;2202
Pomorskie;Człuchowski;2203
Pomorskie;Gdański;2204
Pomorskie;Kartuski;2205
Pomorskie;Kościerski;2206
Pomorskie;Kwidzyński;2207
Pomorskie;Lęborski;2208
Pomorskie;Malborski;2209
Pomorskie;Nowodworski;2210
Pomorskie;Pucki;2211
Pomorskie;Słupski;2212
Pomorskie;Starogardzki;2213
Pomorskie;Tczewski;2214
Pomorskie;Wejherowski;2215
Pomorskie;Sztumski;2216
Pomorskie;Gdańsk;2261
Pomorskie;Gdynia;2262
Pomorskie;Słupsk;2263
Pomorskie;Sopot;2264
Śląskie;Będziński;2401
Śląskie;Bielski;2402
Śląskie;Cieszyński;2403
Śląskie;Częstochowski;2404
Śląskie;Gliwicki;2405
Śląskie;Kłobucki;2406
Śląskie;Lubliniecki;2407
Śląskie;Mikołowski;2408
Śląskie;Myszkowski;2409
Śląskie;Pszczyński;2410
Śląskie;Raciborski;2411
Śląskie;Rybnicki;2412
Śląskie;Tarnogórski;2413
Śląskie;Bieruńsko-Lędziński;2414
Śląskie;Wodzisławski;2415
Śląskie;Zawierciański;2416
Śląskie;Żywiecki;2417
Śląskie;Bielsko-Biała;2461
Śląskie;Bytom;2462
Śląskie;Chorzów;2463
Śląskie;Częstochowa;2464
Śląskie;Dąbrowa Górnicza;2465
Śląskie;Gliwice;2466
Śląskie;Jastrzębie Zdrój;2467
Śląskie;Jaworzno;2468
Śląskie;Katowice;2469
Śląskie;Mysłowice;2470
Śląskie;Piekary Śląskie;2471
Śląskie;Ruda Śląska;2472
Śląskie;Rybnik;2473
Śląskie;Siemianowice Śląskie;2474
Śląskie;Sosnowiec;2475
Śląskie;Świętochłowice;2476
Śląskie;Tychy;2477
Śląskie;Zabrze;2478
Śląskie;Żory;2479
Świętokrzyskie;Buski;2601
Świętokrzyskie;Jędrzejowski;2602
Świętokrzyskie;Kazimierski;2603
Świętokrzyskie;Kielecki;2604
Świętokrzyskie;Konecki;2605
Świętokrzyskie;Opatowski;2606
Świętokrzyskie;Ostrowiecki;2607
Świętokrzyskie;Pińczowski;2608
Świętokrzyskie;Sandomierski;2609
Świętokrzyskie;Skarżyski;2610
Świętokrzyskie;Starachowicki;2611
Świętokrzyskie;Staszowski;2612
Świętokrzyskie;Włoszczowski;2613
Świętokrzyskie;Kielce;2661
Warmińsko-mazurskie;Bartoszycki;2801
Warmińsko-mazurskie;Braniewski;2802
Warmińsko-mazurskie;Działdowski;2803
Warmińsko-mazurskie;Elbląski;2804
Warmińsko-mazurskie;Ełcki;2805
Warmińsko-mazurskie;Giżycki;2806
Warmińsko-mazurskie;Iławski;2807
Warmińsko-mazurskie;Kętrzyński;2808
Warmińsko-mazurskie;Lidzbarski;2809
Warmińsko-mazurskie;Mrągowski;2810
Warmińsko-mazurskie;Nidzicki;2811
Warmińsko-mazurskie;Nowomiejski;2812
Warmińsko-mazurskie;Olecki;2813
Warmińsko-mazurskie;Olsztyński;2814
Warmińsko-mazurskie;Ostródzki;2815
Warmińsko-mazurskie;Piski;2816
Warmińsko-mazurskie;Szczycieński;2817
Warmińsko-mazurskie;Gołdapski;2818
Warmińsko-mazurskie;Węgorzewski;2819
Warmińsko-mazurskie;Elbląg;2861
Warmińsko-mazurskie;Olsztyn;2862
Wielkopolskie;Chodzieski;3001
Wielkopolskie;Czarnkowsko-Trzcianecki;3002
Wielkopolskie;Gnieźnieński;3003
Wielkopolskie;Gostyński;3004
Wielkopolskie;Grodziski;3005
Wielkopolskie;Jarociński;3006
Wielkopolskie;Kaliski;3007
Wielkopolskie;Kępiński;3008
Wielkopolskie;Kolski;3009
Wielkopolskie;Koniński;3010
Wielkopolskie;Kościański;3011
Wielkopolskie;Krotoszyński;3012
Wielkopolskie;Leszczyński;3013
Wielkopolskie;Międzychodzki;3014
Wielkopolskie;Nowotomyski;3015
Wielkopolskie;Obornicki;3016
Wielkopolskie;Ostrowski;3017
Wielkopolskie;Ostrzeszowski;3018
Wielkopolskie;Pilski;3019
Wielkopolskie;Pleszewski;3020
Wielkopolskie;Poznański;3021
Wielkopolskie;Rawicki;3022
Wielkopolskie;Słupecki;3023
Wielkopolskie;Szamotulski;3024
Wielkopolskie;Średzki;3025
Wielkopolskie;Śremski;3026
Wielkopolskie;Turecki;3027
Wielkopolskie;Wągrowiecki;3028
Wielkopolskie;Wolsztyński;3029
Wielkopolskie;Wrzesiński;3030
Wielkopolskie;Złotowski;3031
Wielkopolskie;Kalisz;3061
Wielkopolskie;Konin;3062
Wielkopolskie;Leszno;3063
Wielkopolskie;Poznań;3064
Zachodniopomorskie;Białogardzki;3201
Zachodniopomorskie;Choszczeński;3202
Zachodniopomorskie;Drawski;3203
Zachodniopomorskie;Goleniowski;3204
Zachodniopomorskie;Gryficki;3205
Zachodniopomorskie;Gryfiński;3206
Zachodniopomorskie;Kamieński;3207
Zachodniopomorskie;Kołobrzeski;3208
Zachodniopomorskie;Koszaliński;3209
Zachodniopomorskie;Myśliborski;3210
Zachodniopomorskie;Policki;3211
Zachodniopomorskie;Pyrzycki;3212
Zachodniopomorskie;Sławieński;3213
Zachodniopomorskie;Stargardzki;3214
Zachodniopomorskie;Szczecinecki;3215
Zachodniopomorskie;Świdwiński;3216
Zachodniopomorskie;Wałecki;3217
Zachodniopomorskie;Łobeski;3218
Zachodniopomorskie;Koszalin;3261
Zachodniopomorskie;Szczecin;3262
Zachodniopomorskie;Świnoujście;3263
